school,accept_rate,25th_percentile,75th_percentile
Marist College,0.49200000000000005,1210.0,1360.0
The College of New Jersey,0.493,1160.0,1360.0
Worcester Polytechnic Institute,0.494,1310.0,1470.0
Syracuse University,0.499,1180.0,1370.0
University of La Verne,0.509,1020.0,1205.0
Clemson University,0.513,1230.0,1400.0
Austin College,0.513,1110.0,1290.0
University of California—​Santa Cruz,0.515,1200.0,1360.0
University of Washington--Seattle,0.518,1240.0,1440.0
California State University--Fullerton,0.527,1030.0,1200.0
University of Wisconsin—​Madison,0.53,1330.0,1450.0
Colorado School of Mines,0.531,1260.0,1460.0
Chapman University,0.536,1190.0,1370.0
Ohio State University—​Columbus,0.537,1250.0,1460.0
Texas Lutheran University,0.5429999999999999,990.0,1160.0
University at Albany—​SUNY,0.5429999999999999,1090.0,1250.0
Georgia Southern,0.545,1050.0,1200.0
College of Wooster,0.547,1150.0,1380.0
San Jose State University,0.547,1040.0,1260.0
California State Polytechnic University--Pomona,0.555,1030.0,1250.0
Whitman College,0.5579999999999999,1240.0,1450.0
Sarah Lawrence College,0.5579999999999999,1240.0,1420.0
New School,0.5660000000000001,1150.0,1360.0
University of Pittsburgh,0.5670000000000001,1260.0,1440.0
University of California Riverside,0.5670000000000001,1130.0,1340.0
University of Minnesota—​Twin Cities,0.5670000000000001,1260.0,1480.0
Hobart and William Smith Colleges,0.569,1203.0,1360.0
Abilene Christian University,0.57,1040.0,1230.0
Bennington College,0.57,1230.0,1390.0
Birmingham-​Southern College,0.57,1040.0,1250.0
Fairfield University,0.5710000000000001,1210.0,1350.0
Georgia State,0.574,990.0,1190.0
Texas A&M University—​College Station,0.575,1160.0,1390.0
Saint Louis University,0.575,1180.0,1370.0
St. John's College Annapolis,0.5760000000000001,1210.0,1450.0
Lake Forest College,0.579,1110.0,1310.0
Kennesaw State University,0.579,1080.0,1270.0
California State University--Fresno,0.579,950.0,1130.0
Rollins College,0.583,1160.0,1340.0
University of Hawaii at Manoa,0.584,1070.0,1270.0
University of Denver,0.5870000000000001,1170.0,1350.0
Hampden-​Sydney College,0.59,1050.0,1250.0
University of Illinois—​Urbana-​Champaign,0.59,1220.0,1480.0
Millsaps College,0.593,1080.0,1260.0
California State University--Northridge,0.593,910.0,1130.0
Clark University,0.594,1200.0,1390.0
Lipscomb University,0.595,1060.0,1320.0
Virginia Military Institute,0.595,1090.0,1270.0
Purdue University—​West Lafayette,0.598,1190.0,1440.0
Temple University,0.6,1120.0,1320.0
Rutgers The State University of New Jersey—​New Brunswick,0.601,1190.0,1410.0
Illinois Institute of Technology,0.602,1190.0,1400.0
Yeshiva University,0.603,1140.0,1400.0
Illinois Wesleyan University,0.608,1120.0,1320.0
Furman University,0.611,1230.0,1410.0
University at Buffalo—​SUNY,0.611,1160.0,1340.0
Concordia College—​Moorhead,0.612,1080.0,1368.0
SUNY College of Environmental Science and Forestry,0.614,1120.0,1310.0
University of Portland,0.615,1160.0,1330.0
Cornell College,0.618,1100.0,1345.0
Muhlenberg College,0.618,1170.0,1360.0
Gonzaga University,0.619,1210.0,1358.0
Beloit College,0.62,1080.0,1380.0
Lawrence University,0.621,1200.0,1430.0
University of Utah,0.621,1142.5,1380.0
Allegheny College,0.622,1170.0,1360.0
University of Delaware,0.624,1170.0,1350.0
Westmont College,0.624,1110.0,1370.0
Luther College,0.626,1050.0,1310.0
Rutgers The State University of New Jersey—​Newark,0.627,1020.0,1190.0
Earlham College,0.634,1100.0,1370.0
Augustana College,0.636,1070.0,1280.0
Wofford College,0.636,1180.0,1350.0
New Jersey Institute of Technology,0.637,1190.0,1380.0
