number_of_applicants,accept_rate,enrolled_lower_sat,enrolled_higher_sat
18122,0.579,950.0,1130.0
6167,0.583,1160.0,1340.0
16244,0.584,1070.0,1270.0
21028,0.5870000000000001,1170.0,1350.0
3240,0.59,1050.0,1250.0
43509,0.59,1220.0,1480.0
4161,0.593,1080.0,1260.0
30637,0.593,910.0,1130.0
7687,0.594,1200.0,1390.0
3638,0.595,1060.0,1320.0
1515,0.595,1090.0,1270.0
54912,0.598,1190.0,1440.0
35599,0.6,1120.0,1320.0
41348,0.601,1190.0,1410.0
5049,0.602,1190.0,1400.0
1508,0.603,1140.0,1400.0
3719,0.608,1120.0,1320.0
5469,0.611,1230.0,1410.0
29900,0.611,1160.0,1340.0
4160,0.612,1080.0,1368.0
2018,0.614,1120.0,1310.0
14505,0.615,1160.0,1330.0
3118,0.618,1100.0,1345.0
4146,0.618,1170.0,1360.0
9279,0.619,1210.0,1358.0
3657,0.62,1080.0,1380.0
3463,0.621,1200.0,1430.0
24404,0.621,1142.5,1380.0
5208,0.622,1170.0,1360.0
27691,0.624,1170.0,1350.0
2937,0.624,1110.0,1370.0
4422,0.626,1050.0,1310.0
13259,0.627,1020.0,1190.0
2070,0.634,1100.0,1370.0
6211,0.636,1070.0,1280.0
3522,0.636,1180.0,1350.0
8123,0.637,1190.0,1380.0
42157,0.638,1190.0,1390.0
1307,0.642,1120.0,1320.0
4935,0.644,1130.0,1360.0
1664,0.644,1045.0,1225.0
4720,0.645,1070.0,1260.0
18411,0.6459999999999999,1130.0,1330.0
5141,0.6459999999999999,1248.0,1420.0
1278,0.647,1010.0,1210.0
1751,0.648,1130.0,1340.0
31936,0.648,1180.0,1390.0
25393,0.65,1140.0,1310.0
21867,0.65,1120.0,1290.0
4568,0.653,1080.0,1358.0
13287,0.655,1170.0,1320.0
10433,0.655,1120.0,1310.0
6017,0.655,1110.0,1320.0
13096,0.6559999999999999,1130.0,1360.0
18948,0.66,1200.0,1400.0
3970,0.6609999999999999,1110.0,1310.0
18269,0.6629999999999999,1070.0,1280.0
3545,0.667,1150.0,1340.0
7795,0.669,1078.0,1300.0
7795,0.669,1078.0,1300.0
2907,0.6709999999999999,1020.0,1240.0
25583,0.672,1140.0,1320.0
19233,0.6729999999999999,1180.0,1360.0
34629,0.6729999999999999,940.0,1150.0
10500,0.675,1210.0,1420.0
6944,0.6759999999999999,1100.0,1370.0
6961,0.677,1120.0,1290.0
4175,0.6779999999999999,990.0,1210.0
2341,0.6809999999999999,1080.0,1310.0
26895,0.682,1070.0,1290.0
3397,0.6829999999999999,1090.0,1350.0
24425,0.685,1160.0,1340.0
15278,0.685,1160.0,1338.0
16307,0.6859999999999999,910.0,1090.0
31268,0.6859999999999999,1180.0,1370.0
4043,0.688,990.0,1200.0
2462,0.688,1010.0,1210.0
25384,0.6890000000000001,1070.0,1260.0
4705,0.69,1060.0,1295.0
2619,0.69,1000.0,1210.0
3788,0.6920000000000001,1110.0,1310.0
16411,0.695,990.0,1200.0
15277,0.7,1040.0,1265.0
10708,0.7020000000000001,1070.0,1270.0
19260,0.7040000000000001,1150.0,1310.0
4149,0.705,1080.0,1310.0
3361,0.7090000000000001,1140.0,1320.0
14324,0.7090000000000001,990.0,1170.0
6885,0.711,1160.0,1350.0
44322,0.711,1100.0,1320.0
3244,0.7120000000000001,1070.0,1300.0
10112,0.7140000000000001,1150.0,1350.0
5752,0.715,1070.0,1250.0
5909,0.718,1050.0,1269.0
7204,0.7190000000000001,1110.0,1280.0
25368,0.72,980.0,1180.0
5454,0.72,1180.0,1340.0
17462,0.72,1120.0,1320.0
5863,0.722,1220.0,1400.0
1545,0.722,1153.0,1390.0
21259,0.723,1012.0,1345.0
25908,0.723,990.0,1180.0
13005,0.7240000000000001,1110.0,1300.0
22753,0.725,1090.0,1260.0
7411,0.725,1130.0,1300.0
22696,0.727,1030.0,1260.0
14553,0.73,990.0,1230.0
27276,0.731,1070.0,1270.0
23296,0.731,1160.0,1370.0
2933,0.731,1110.0,1290.0
15716,0.731,1010.0,1230.0
14891,0.732,1150.0,1330.0
3277,0.737,1140.0,1310.0
21540,0.737,1060.0,1250.0
6498,0.737,1108.0,1273.0
15100,0.738,1070.0,1250.0
3460,0.7390000000000001,1150.0,1340.0
14323,0.741,970.0,1190.0
4242,0.741,1038.0,1250.0
13006,0.742,1080.0,1270.0
3926,0.742,1030.0,1250.0
5978,0.743,1170.0,1370.0
31824,0.747,1190.0,1390.0
4713,0.75,1100.0,1250.0
5857,0.75,1050.0,1260.0
12327,0.753,960.0,1170.0
6220,0.759,1030.0,1213.0
3576,0.76,1170.0,1370.0
12678,0.763,1060.0,1220.0
2212,0.764,1130.0,1380.0
17122,0.7659999999999999,1030.0,1220.0
23578,0.768,1120.0,1290.0
16664,0.768,1100.0,1270.0
44169,0.769,1150.0,1360.0
10098,0.769,1090.0,1250.0
18622,0.7709999999999999,1070.0,1260.0
17913,0.7709999999999999,1120.0,1300.0
1094,0.7709999999999999,1060.0,1365.0
8071,0.778,1010.0,1240.0
18948,0.778,1090.0,1290.0
3972,0.779,1140.0,1340.0
16829,0.782,1120.0,1360.0
2709,0.7829999999999999,1070.0,1270.0
11783,0.7829999999999999,1080.0,1260.0
40740,0.784,1140.0,1350.0
10500,0.784,1160.0,1320.0
7968,0.785,1160.0,1330.0
14327,0.7859999999999999,1240.0,1460.0
19234,0.787,1030.0,1190.0
21764,0.7879999999999999,1150.0,1330.0
12335,0.795,1060.0,1260.0
3740,0.7979999999999999,1070.0,1270.0
17698,0.799,1000.0,1210.0
10077,0.802,1143.0,1320.0
28920,0.804,1210.0,1410.0
3154,0.804,1040.0,1290.0
15673,0.804,1130.0,1310.0
20205,0.807,1150.0,1320.0
12720,0.807,1030.0,1250.0
10788,0.8079999999999999,960.0,1180.0
6069,0.81,1070.0,1240.0
7728,0.8109999999999999,1070.0,1280.0
4964,0.8109999999999999,1010.0,1250.0
23583,0.8109999999999999,1010.0,1180.0
28319,0.8140000000000001,1070.0,1290.0
15381,0.8140000000000001,1010.0,1230.0
18639,0.816,1050.0,1240.0
27358,0.816,1100.0,1310.0
6819,0.8190000000000001,1130.0,1380.0
1862,0.8190000000000001,1050.0,1260.0
16151,0.8190000000000001,1020.0,1220.0
24179,0.821,1050.0,1260.0
27576,0.823,940.0,1140.0
9972,0.8240000000000001,1000.0,1160.0
25928,0.826,1130.0,1340.0
4040,0.826,1140.0,1320.0
3673,0.83,1020.0,1220.0
15078,0.83,1120.0,1320.0
1931,0.8340000000000001,990.0,1210.0
15786,0.836,1080.0,1320.0
6096,0.8370000000000001,1140.0,1320.0
5182,0.838,1150.0,1370.0
18040,0.84,1070.0,1270.0
4333,0.8420000000000001,1180.0,1380.0
1621,0.843,1060.0,1290.0
40854,0.846,1120.0,1350.0
